WIDTH,HEIGHT,TOTAL ACTUAL WEIGHT,TOTAL BLANK WEIGHT
840,930,6.27,6.97
870,930,6.53,7.23
900,930,6.78,7.49
930,930,7.03,7.74
960,930,7.29,8.00
990,930,7.43,8.25
1020,930,7.69,8.51
1050,930,7.94,8.77
1080,930,8.19,9.02
1110,930,8.45,9.28
1140,930,8.59,9.54
1170,930,8.85,9.79
1200,930,9.10,10.05
600,960,4.56,5.09
630,960,4.83,5.35
660,960,5.09,5.62
690,960,5.23,5.88
720,960,5.49,6.15
750,960,5.75,6.41
780,960,6.01,6.68
810,960,6.27,6.94
840,960,6.41,7.20
870,960,6.67,7.47
900,960,6.94,7.73
930,960,7.20,8.00
960,960,7.46,8.26
990,960,7.60,8.53
1020,960,7.86,8.79
1050,960,8.12,9.06
1080,960,8.38,9.32
1110,960,8.64,9.59
1140,960,8.78,9.85
1170,960,9.04,10.12
1200,960,9.31,10.38
600,990,4.72,5.25
630,990,4.99,5.52
660,990,5.27,5.80
690,990,5.41,6.07
720,990,5.68,6.34
750,990,5.95,6.62
780,990,6.22,6.89
810,990,6.49,7.16
840,990,6.64,7.44
870,990,6.91,7.71
900,990,7.18,7.98
930,990,7.45,8.25
960,990,7.72,8.53
990,990,7.87,8.80
1020,990,8.14,9.07
1050,990,8.41,9.35
1080,990,8.68,9.62
1110,990,8.95,9.89
1140,990,9.09,10.17
1170,990,9.37,10.44
1200,990,9.64,10.71
600,1020,4.88,5.41
630,1020,5.16,5.69
660,1020,5.44,5.98
690,1020,5.60,6.26
720,1020,5.88,6.54
750,1020,6.15,6.82
780,1020,6.43,7.10
810,1020,6.71,7.38
840,1020,6.87,7.67
870,1020,7.15,7.95
900,1020,7.42,8.23
930,1020,7.70,8.51
960,1020,7.98,8.79
990,1020,8.14,9.07
1020,1020,8.42,9.36
1050,1020,8.69,9.64
1080,1020,8.97,9.92
1110,1020,9.25,10.20
1140,1020,9.41,10.48
1170,1020,9.69,10.76
1200,1020,9.96,11.05
600,1050,5.04,5.58
630,1050,5.33,5.87
660,1050,5.62,6.16
690,1050,5.78,6.45
720,1050,6.07,6.74
750,1050,6.36,7.03
780,1050,6.64,7.32
810,1050,6.93,7.61
840,1050,7.10,7.90
870,1050,7.38,8.19
900,1050,7.67,8.48
930,1050,7.96,8.77
960,1050,8.24,9.06
990,1050,8.41,9.35
1020,1050,8.69,9.64
1050,1050,8.98,9.93
1080,1050,9.27,10.22
1110,1050,9.56,10.51
1140,1050,9.72,10.80
1170,1050,10.01,11.09
1200,1050,10.29,11.38
600,1080,5.15,5.74
630,1080,5.45,6.04
660,1080,5.74,6.34
690,1080,5.90,6.63
720,1080,6.19,6.93
750,1080,6.49,7.23
780,1080,6.78,7.53
810,1080,7.08,7.83
840,1080,7.23,8.13
870,1080,7.53,8.43
900,1080,7.83,8.72
930,1080,8.12,9.02
960,1080,8.42,9.32
990,1080,8.57,9.62
1020,1080,8.87,9.92
1050,1080,9.16,10.22
1080,1080,9.46,10.52
1110,1080,9.75,10.82
1140,1080,9.91,11.11
1170,1080,10.20,11.41
1200,1080,10.50,11.71
600,1110,5.31,5.90
630,1110,5.62,6.21
660,1110,5.92,6.52
690,1110,6.08,6.82
720,1110,6.39,7.13
750,1110,6.69,7.44
780,1110,7.00,7.74
810,1110,7.30,8.05
840,1110,7.46,8.36
870,1110,7.77,8.67
900,1110,8.07,8.97
930,1110,8.38,9.28
960,1110,8.68,9.59
990,1110,8.84,9.89
1020,1110,9.15,10.20
1050,1110,9.45,10.51
